name,description,s,alpha,val,kind ,vec 
lda,LDA limit,0,1,1,eq,
liebox,The Lieb Oxford bound,,,1.804,lt,
scan11,Tighter L.O. bound (1.174) when _=0 (Eq 11 in SCAN paper),,0,1.174,lt,
pos,Make Fx never negative,,,0,gt,
