Element,Row,Col,Lattice,N_unit,TotEngBulk,BulkE,AtomE,bulkmod,keldAE,DFT atomE,ErrAtomE,xAtom,xBulk
Ti,4,4,hcp,2,-88.438892,-44.219446,-39.54370483,0.711845,4.85,4.68,-0.17,"[[-1046.448861914116, 935.5538377565638, -739.9408318086801, 501.50982078298466, -265.1002930248251, 67.51334103054887, 69.38752962297076, -140.46929817028877], [354.0882565744748, -319.7487073398007, 256.3585514810129, -173.87827689505434, 85.28014235687056, -4.169417136174616, -58.20946742441038, 95.38321607223043], [69.73809766505656, -62.11662053348573, 50.008956361089986, -38.66099910141611, 33.05100029580285, -35.570863606081275, 44.69733441835251, -55.503566497353404], [45.12365160811737, -40.16866251236979, 31.129501612150534, -19.21125129687516, 5.653983899687773, 8.179670220436265, -20.793315452015122, 30.507364591697296], [-199.27550081401705, 180.5241905317996, -147.23778196107946, 106.05126378134537, -64.10052693024659, 27.368150095612464, 0.40598943260374654, -18.08895120998409], [150.71032483528643, -138.42967658397924, 115.80586077218368, -86.04146968050736, 52.97084304054874, -20.575582002347574, -7.565975397539205, 28.726945167125223], [-78.81551585357488, 74.19287257604014, -64.56953530919964, 49.475800888300455, -29.150609000507757, 5.1418716890582346, 19.636205943767663, -41.46481674635106], [103.32920099203875, -95.34030673886718, 80.42459661366661, -60.19495702341328, 36.573127325331825, -11.793310527828908, -11.660109077197603, 31.19549628853133]]","[[-2098.9729323824, 1885.578068371784, -1503.689145786674, 1030.595027402971, -555.0344845206598, 154.52013465198934, 122.17536954664138, -262.6189773989579], [671.6633998659581, -606.2124146758888, 485.80075001826344, -329.489505419456, 161.4082852545098, -6.309278358235588, -114.96429610564337, 189.16516500261332], [182.24511418095335, -163.72085385050377, 133.94225069875665, -104.42604229233075, 86.13299072219161, -84.85426371476842, 98.6668298036634, -118.48274473893525], [86.45307676500306, -76.38852752436833, 57.799580604884795, -33.41461109503052, 6.590567460858438, 19.244563959818606, -40.98420914444705, 56.03657986153439], [-418.18486163530406, 379.9911908309209, -311.41219707950927, 225.8283437515688, -138.4900582757532, 62.59463482775118, -6.391890777469143, -27.880609769871626], [340.7405172834142, -314.2220402631003, 264.4820867887047, -197.72071850936254, 122.24622586283976, -47.30948827569, -18.309226682762528, 67.72115884366485], [-182.96916611264214, 172.00968875328226, -149.3267492019786, 114.26575777356857, -67.61021439960814, 12.70779514851256, 44.22226358273747, -94.90742847517731], [175.6901414720146, -163.3947399878689, 139.753146203524, -106.63571012004059, 66.78097037570342, -23.709489291705268, -18.430794643092668, 55.14773476465962]]"
Zr,5,4,hcp,2,-208.139004,-104.069502,-98.07039574,0.585027,6.25,6,-0.25,"[[-2895.3338957662077, 2671.733306360912, -2262.627790157481, 1732.8753832082657, -1159.3699840329464, 616.3827448269453, -163.16033308775968, -164.05654557692606], [617.440935701045, -562.628665304544, 461.19302884407807, -328.0472194068034, 182.45984187543263, -44.75501370642314, -67.55799021266239, 142.8774062352959], [749.9189695818727, -706.4896745024853, 626.3048858246934, -521.5661973392102, 406.845860429376, -295.59240746528303, 197.43305990424233, -116.91867320994425], [-2.334446286381535, 9.422577417903995, -22.042314037407323, 37.93028448408495, -54.389870247196086, 68.42002140715522, -77.12822011338221, 78.08814168356275], [-825.3096243383493, 766.0302155629183, -656.6372758029365, 512.8443673664156, -353.87730513782344, 199.1884582976968, -65.31746068181883, -36.403521286622436], [398.10579586834365, -372.5140295925453, 324.40972950233527, -258.94189347058455, 182.75722442805727, -103.41834847293785, 28.486577820399816, 35.32792408308387], [206.4434206274318, -192.30513294100456, 166.95006038371548, -135.78612186826922, 105.03409801328417, -79.96570273722818, 63.67784745909148, -56.499803720671935], [-46.56470174664673, 46.80406531570952, -46.82116842618052, 46.38548023595331, -45.46110396571703, 43.95520497298776, -41.66334226171648, 38.20878244971618]]","[[-5800.486088638669, 5362.03807246268, -4553.641964825914, 3498.0784962126136, -2347.4319905316884, 1253.3397763960993, -339.37718176088765, -318.3861918659668], [1211.1604130544229, -1103.5128833555564, 904.4879622626686, -643.6767994395768, 358.67855077224976, -88.47330878454159, -133.22146942828658, 283.3340668826486], [1518.5131546712983, -1431.0609377996325, 1269.800207008916, -1058.7491441539041, 826.695400653979, -600.8327133193143, 401.3761545065345, -238.53026094394136], [15.340931803993954, 0.39911716018559673, -29.099655833270845, 65.64292546389333, -103.38072711793393, 135.17604980706983, -154.51697889907973, 156.54220074309524], [-1666.3389382956211, 1548.0185478580852, -1328.5079620025463, 1038.7507084735926, -717.6443179024545, 404.9792349135787, -134.72910315704576, -69.93740229562172], [790.0592752578959, -740.4064388808802, 646.0899820765944, -516.5764632080854, 364.81128454579994, -205.79799610713962, 54.877782802539514, 74.1008422040195], [425.39613070685937, -396.2653067971969, 344.25830983287506, -280.21048302108466, 216.6648488731371, -164.60891805307347, 130.72614553947733, -115.90105931847938], [-104.72686432303726, 103.66277199202523, -101.49361209572271, 98.15258955877471, -93.5605533460548, 87.6160843063999, -80.15314388379466, 70.88279261704702]]"
Mo,5,6,bcc,2,-230.61239,-115.306195,-109.5768614,1.743501,6.82,5.73,-1.09,"[[-3147.168732317112, 2910.542573021271, -2477.5207901132944, 1914.5762565703326, -1300.5171943533128, 713.3571328672838, -217.29624144774743, -146.79294157305048], [648.8903608054566, -590.5685995830577, 482.8065303585513, -342.3905056690155, 190.21938499384714, -47.08533254886106, -69.49374750350671, 147.86606677737882], [848.3620054244202, -800.0503094767218, 712.0431002862956, -597.7453241900603, 471.4048502958635, -346.2882797943389, 232.81671386143307, -137.02913061021172], [-6.600175055027194, 13.398019353076506, -25.818852098821026, 42.271907210589234, -60.28721728344726, 76.19203601345953, -86.10698792157655, 86.89977047794628], [-914.1400826224171, 850.5650123557352, -733.0788269737868, 578.1350458008396, -405.5369434677341, 235.44709654371582, -85.90147830932756, -29.947637492275135], [423.9348364601028, -397.4421268524384, 347.19175693883335, -278.53847815356175, 198.65840045309415, -115.20677960136254, 35.642435395953726, 33.10256314684602], [264.27529211037927, -247.3370924185624, 217.06582708019323, -179.3805754408122, 140.55454843031976, -106.1276160298421, 80.1286109366738, -64.14495100046588], [-67.44996613687681, 67.19923162883879, -66.45553549937904, 64.97993327466611, -62.45755129438021, 58.38032790705847, -52.21933772777402, 43.852628252223894]]","[[-6292.040590555988, 5829.1889633692135, -4973.509562443391, 3851.0948740420536, -2619.414267674768, 1437.510869050394, -437.712003578883, -295.14854880660823], [1268.1055121973686, -1155.443881349278, 947.2014092670588, -674.4103248544507, 376.43235529977756, -93.97931430351673, -137.83571111596848, 295.07250796031803], [1704.8492602667702, -1610.7253261126662, 1436.126580326153, -1205.3144022884926, 947.8938018386607, -692.6933502092634, 462.35756703105926, -269.9614975852537], [16.431032935522126, 0.8262353892932879, -32.34626711369401, 72.57149344376285, -114.19356504367352, 149.24824870571047, -170.3537830616806, 171.9242196986579], [-1840.1431807284844, 1712.5747046280758, -1475.3146332244596, 1160.8168313362185, -810.2317499876735, 466.2077875334935, -165.87371232518308, -64.6155942240166], [830.948645671886, -779.3785537690837, 681.3941929731145, -546.7510663190551, 388.7403553388949, -222.71543131351336, 64.35784018540107, 72.1232772509984], [533.6698729889022, -499.1710711986452, 436.87052788754954, -358.49283506064785, 277.8946523552795, -207.70842767209342, 156.4024293098919, -126.50838066532651], [-130.38104912685958, 128.98823638267095, -126.05626738117462, 121.32560772649322, -114.47778610662317, 105.19280718486425, -93.19528099423042, 78.28634489464184]]"
Fe,4,8,bcc,2,-113.760699,-56.8803495,-52.44417743,0.847331,4.28,4.44,0.16,"[[-1399.541224832086, 1265.2426401584385, -1025.5425800643675, 726.7929940303534, -420.3155498674496, 151.73375791946546, 47.64259496901559, -165.2785101453826], [400.2931372997716, -362.9530303182096, 293.3234466027425, -202.23138788977758, 103.96448126775931, -12.854570019750781, -59.18932521222928, 104.62480098218452], [204.063615029507, -186.95369215818573, 157.2167482820114, -123.06563045634584, 92.80007209559358, -71.57525639387791, 60.341134969841505, -56.27013273778266], [45.600164750170734, -39.51408703115817, 28.03753893161843, -13.070992902890339, -3.0816241397340036, 18.331759001013324, -30.73870486049077, 38.58724598131175], [-334.5991953085604, 304.89615347244535, -251.62533352571927, 184.4095525773521, -114.15846965724177, 50.839520896916156, -1.5002456222239289, -30.659125941240518], [209.91413803546675, -195.57580609825845, 168.08659775609817, -130.27225088588216, 86.19929157587876, -40.68505746297092, -1.225244014052123, 35.0988285754579], [-33.689681536494845, 34.038174089183485, -33.220364137176375, 28.631463405302156, -18.234859763136683, 1.6949321173688077, 19.302046266374873, -41.34799246354987], [57.83839500389831, -52.58609808337724, 42.82207005889313, -29.92224845143346, 15.325329117738875, -0.35263701466556086, -13.693019158398101, 25.504642494394375]]","[[-2803.8896248181086, 2544.528372104892, -2074.9550202770033, 1481.2343180410326, -865.4313336152945, 321.9692293032422, 82.27464177718002, -319.1378516270629], [770.7521430705465, -697.7468496439669, 563.191909709496, -387.8998627130086, 198.23752130137655, -21.346168112434498, -119.68179620445471, 209.70637632093258], [432.21561028786164, -397.95854179503885, 338.289028099151, -267.94938855047985, 202.72878490051698, -154.41068637080116, 127.25958216066874, -117.2044019610903], [88.59222168855331, -76.27034864290272, 53.6133616650186, -24.199493038679975, -7.472437756822728, 36.74282936932286, -59.46475643593567, 72.49165842696448], [-659.8099965960319, 603.3038626045563, -500.49715402648144, 369.3159544830037, -231.15804799379612, 106.08719831566486, -8.775620916120715, -53.80556987613954], [433.9886497264429, -403.12504759015246, 344.78456156133007, -265.40213563618636, 173.7694238004301, -79.99587704003625, -5.804076465933576, 74.92743891758164], [-94.53879121981981, 91.93339323149758, -84.46546167382348, 68.72353298226608, -41.93323688010605, 3.757558617005998, 42.59590524546411, -90.43378972465825], [107.53530564833545, -99.0839623842694, 82.91778587951922, -60.44433622173392, 33.63426459987704, -4.899391041384661, -23.03258308986733, 47.26760120629933]]"
Ru,5,8,hcp,2,-242.933423,-121.4667115,-115.2306041,2.15872,6.74,6.24,-0.5,"[[-3400.3642701778735, 3149.111093525198, -2688.5349467729325, 2088.852980739489, -1433.5184690362962, 804.8023791536598, -270.33621348545466, -126.49954422941528], [680.079812850915, -620.7243268546399, 509.79257837767636, -363.5888887437086, 203.79728471165163, -52.65114830109087, -70.96853511482732, 154.4519962686477], [937.2807428331689, -885.4104756748557, 789.7166967126814, -664.604971006208, 526.3657096387524, -389.53543037003465, 264.8764195132717, -158.39369115430964], [-7.081813666197377, 15.504580211773373, -30.89699374165184, 50.140188214005775, -69.56597357227201, 85.62249599970482, -94.89345081432975, 94.49847620340961], [-994.4028954011051, 925.4332218960881, -798.188924747772, 630.5243762895361, -444.2598046475441, 261.56308138235363, -101.33714646721774, -23.22752268023578], [445.2648082220203, -418.36284481433495, 366.6259370187545, -295.0701811188651, 211.0011762797394, -122.79700184355897, 38.91905042268945, 33.12502220696206], [314.5612857447977, -294.6931214440392, 258.6889505967647, -213.4672562715159, 166.81942734050244, -125.4417137122814, 93.6434674896559, -72.65804856231534], [-85.92928049309876, 84.62085168009025, -82.08773546546445, 78.10357276134346, -72.51102409050372, 65.34122556656985, -56.614873359987996, 46.340502557147374]]","[[-6803.34899903212, 6313.002227127284, -5405.169258074759, 4211.292032723132, -2896.070100907934, 1626.761827159714, -543.8248742548558, -260.9632633985975], [1327.9905990287816, -1209.9420386357233, 991.768053198829, -706.0238407607285, 393.9867016036751, -98.3244946941877, -144.19546674237426, 308.54461741215164], [1895.2376360683966, -1793.7440317978844, 1604.8507413200414, -1353.711981824883, 1071.2593004751116, -788.0189890094998, 528.5707880675982, -307.95809310963796], [11.95431467340859, 6.428648216492547, -39.99586098637519, 82.79985912874963, -126.99751138596639, 164.01231046431076, -185.86664271382597, 186.50681789452483], [-2012.5792525168745, 1875.649437316978, -1620.6180569892722, 1281.7356356449336, -902.5879669809301, 528.6050091103498, -199.6935060622036, -55.579773690613365], [883.6339302592651, -829.161416756373, 725.6746639688872, -583.4840841217765, 416.6012589927086, -241.16311449064506, 73.60317206103446, 71.21913321001739], [638.0714118003534, -598.5566258148874, 526.7040695510168, -435.14506315915696, 338.9658820719751, -252.2040407672621, 184.73206599217883, -140.30374419328018], [-170.29447053517924, 167.74263758292636, -162.49738774186972, 154.31395269187942, -142.91086183761308, 128.04816804253824, -109.60172453155064, 87.62446867544804]]"
Rh,5,9,fcc,4,-494.78602,-123.696505,-118.7803547,1.789815,5.75,4.92,-0.83,"[[-3531.659963736682, 3273.2117362391296, -2798.931011708024, 2180.693616547874, -1504.2089221629244, 854.041400656311, -299.70881016856674, -114.1468019982749], [696.2174836582585, -635.9220230335136, 523.0047756804192, -373.7635187693045, 210.21306875021764, -55.16115000532773, -71.90448512554485, 157.8902864196848], [985.5049332628637, -932.135723379361, 833.1139016356187, -702.8174611216759, 558.1173234199755, -414.30084944627424, 282.6908913062225, -169.61748822868367], [-12.507335102672641, 20.766771833221355, -36.10160872621327, 55.42518695029685, -74.7794863273707, 90.38380909523494, -98.79964146110251, 97.25906809449089], [-1037.1658048844624, 965.7528073031585, -833.9076055513788, 660.0150696961823, -466.6218891861454, 276.74533390337183, -110.00762331835995, -19.951039071428113], [462.919269370796, -434.74995553272265, 380.79757784891217, -306.4329972378355, 219.17553568656786, -127.60083891981367, 40.495879564768074, 34.278922115413934], [336.13057485045147, -315.0444061943449, 276.9470040636179, -229.17881379736173, 179.85805824531872, -135.88092353288948, 101.6710752932272, -78.47428874625211], [-96.81251452560537, 95.27769355093778, -92.203973897178, 87.23738909302256, -80.16215007044002, 71.11609226070004, -60.34633794970705, 48.098811007749646]]","[[-14137.282477053563, 13127.007140694659, -11255.783560380636, 8793.086082902784, -6076.7704920524175, 3450.284435124282, -1202.5579097425434, -476.87559267842335], [2720.135814922487, -2478.5452339124913, 2032.0331427170931, -1447.2109537054948, 808.5509431173032, -203.39421754802424, -292.9663155257822, 629.2418594596111], [3982.089500910777, -3771.470351226242, 3379.1136809678064, -2856.600912141519, 2267.443597465688, -1674.4705034430626, 1128.5074645618442, -661.0207525971509], [13.631676449256702, 24.331109781447594, -93.56766591802443, 181.65686082910543, -272.25493034157626, 347.55029129465765, -391.06053091956346, 390.3916876164749], [-4189.674180927859, 3906.833033976847, -3379.8682298448366, 2679.22643000495, -1894.5915117955828, 1119.5050677755062, -436.23155294636854, -96.20351507254964], [1828.1816925028797, -1716.0760246813898, 1503.0566847813243, -1210.2729139459934, 866.4846769079522, -504.8455207129391, 159.16151116153014, 139.94642251976074], [1366.1845663897839, -1283.1700929444014, 1131.934497495553, -938.5392095313746, 734.1734983753413, -547.9757729775301, 400.63817477304656, -300.37929213459574], [-389.2711613835763, 382.7787012575336, -369.48510008231096, 348.8816028981946, -320.44569157365004, 283.8546669268835, -239.17475298915815, 186.99040547943514]]"
Ir,6,9,fcc,4,-1183.457406,-295.8643515,-288.485507,2.556324,6.94,7.38,0.44,"[[-8930.497773636607, 8407.222829235172, -7432.609235038182, 6132.130112325138, -4661.085978037638, 3179.547266310452, -1828.12334233009, 709.3448886525366], [1244.495509808712, -1121.0840389507066, 894.1318163741907, -602.2515552083514, 294.62772813175434, -19.76724324204588, -184.08327862197984, 295.7334407885992], [3110.8487033841884, -3003.75137492029, 2795.2887967104307, -2497.9713448483126, 2129.3238516975252, -1710.1818402865629, 1264.0280844327353, -815.9323377099554], [29.08739462718404, 5.725265495657368, -68.28370476295095, 145.0696194897937, -219.50505361807154, 275.48822734869464, -300.10979059353303, 285.9643369607493], [-3040.0136743648072, 2865.837000596315, -2539.8893146784667, 2101.8320569128155, -1601.9000603056174, 1092.9717984098115, -622.8584075099843, 228.3651400937615], [887.1625484921515, -826.6333780533405, 713.5935170375724, -563.557791199999, 396.4200453814956, -232.448949786889, 88.82637362422429, 22.778795800686567], [1632.9816651698366, -1571.3907797503634, 1452.4721435885695, -1285.0932105003885, 1081.4102918645767, -855.4435767366285, 622.086736828549, -396.04438830155414], [-268.762462527533, 277.50335213250037, -291.49236889568965, 304.17092941168994, -308.064964302539, 296.8209214643266, -266.3716653158972, 215.74836490864618]]","[[-35734.80346054851, 33668.98675791902, -29801.652602648966, 24614.353712441225, -18721.890462502328, 12769.05658086807, -7329.2256095218545, 2824.346305573097], [4942.827724224961, -4444.756168989981, 3536.7028125529614, -2376.0754980000274, 1156.5558412631945, -68.57330030175945, -737.6650797203838, 1178.583052099042], [12461.444059577982, -12037.493389149906, 11211.501590138017, -10027.177218900808, 8549.259929972934, -6861.28434834164, 5061.228834734953, -3254.9327960113005], [178.77650233396707, -34.540979975317896, -223.707475837713, 541.7792713199087, -852.5506161825324, 1089.2578599413682, -1198.213763959866, 1148.5071422149776], [-12167.436756263596, 11477.032086155748, -10180.247403875863, 8431.020596825554, -6427.956039193599, 4383.114273406543, -2490.898335707898, 902.5603691293072], [3486.367097264265, -3246.6308143160713, 2801.5383138840843, -2212.9541347877457, 1558.1953054435944, -915.8263645020197, 352.5483408166401, 86.16513035978278], [6540.802868036357, -6296.442863139495, 5824.072155863745, -5155.697993231617, 4337.251747964867, -3425.3654875491484, 2482.4863091307634, -1570.709960162625], [-1016.0457263189892, 1055.3397712992082, -1118.7818650346526, 1179.9959013088373, -1208.067053131963, 1175.1342801904684, -1062.9173047910444, 866.7336890550578]]"
Ni,4,10,fcc,4,-243.102196,-60.775549,-56.56012498,1.3146,4.44,4.22,-0.22,"[[-1594.3772125452467, 1448.1169953812066, -1185.043137440211, 853.7141556036388, -509.3603608316437, 202.20133574284932, 32.01526826865302, -177.0173400541678], [423.19898858461534, -384.9518834973171, 313.6935337164816, -219.61317446428598, 116.60689091122731, -19.63633249000577, -58.37206413621857, 108.89839447131726], [280.89542392576436, -258.8500566636974, 220.02037792896067, -173.51471116440325, 128.8879668471186, -93.2190491570509, 69.49121836302629, -56.273376970646495], [35.12668109008109, -28.594952145247134, 16.7440646056923, -1.7248207006803113, -13.799031366049576, 27.40945205887965, -37.364289561140595, 42.39952043010612], [-395.0354571290534, 360.77634180432074, -298.87619833511985, 220.00900541361148, -136.6444451128766, 60.66725994393687, -0.9968818091597313, -37.849905397911925], [238.27540991623505, -222.1129509056102, 191.41556097214038, -149.26109347360898, 100.05878933039708, -49.05133653054395, 1.6484476675002497, 37.217526050386596], [-15.15094534952027, 17.43526001987516, -20.133817554613415, 20.00796192944904, -14.21770546947755, 1.5305177915370223, 17.263290001006, -39.2718699663792], [48.99304140582149, -44.413986664644426, 35.90293025775418, -24.479962733951425, 11.441959659755867, 1.8929939772763191, -14.343259206379798, 24.772349362433715]]","[[-6393.275884791904, 5827.3926995795455, -4797.021556443344, 3481.3221940118865, -2096.311872645203, 847.5099894773111, 111.72685004570576, -706.1775136003953], [1635.6187609076742, -1482.4564359245715, 1200.151677081696, -832.2624725114165, 433.82158082149454, -61.31234827685057, -237.30375819892743, 430.5205837881376], [1167.0481095525065, -1081.053340838258, 928.0293789205207, -740.2801631862685, 554.0065103153465, -399.0664779822173, 291.150109923271, -228.7222497255516], [188.2538102559938, -160.12982207454297, 108.42615730534817, -41.41572729123709, -30.33828833854932, 95.723790478718, -144.78194403081307, 170.1021087057261], [-1614.9531626874032, 1479.9657489352257, -1233.130343919609, 915.5022692884149, -576.9888090636841, 265.80205663797733, -19.07320495048134, -143.18604084877916], [958.577661389174, -892.9917853802599, 768.5499705638194, -598.1252656244133, 399.5136054247332, -193.55056580717155, 1.6449603114942875, 157.012566122522], [-60.446997982332505, 66.82599002675215, -73.20288141926449, 69.27799151771433, -44.94013792297483, -5.353659112553032, 79.41004207931474, -166.46261593847794], [142.3913803028854, -129.13643269713793, 104.08171267131547, -69.89556698506112, 30.067400513284156, 11.498475136058005, -50.79385010261922, 83.89773338132909]]"
Pd,5,10,fcc,4,-498.064002,-124.5160005,-121.0708634,1.175605,3.89,3.45,-0.44,"[[-3669.9035210817715, 3404.6824266916174, -2917.3659814017087, 2281.432259201695, -1584.6375237495126, 913.267583085928, -338.22535245430527, -94.6224751196819], [702.3029309595995, -642.5503598103278, 529.7748251015018, -379.3937579243593, 213.42210430953673, -55.503316441587685, -73.87844969003254, 161.07513901213997], [1043.9612133297887, -989.2689081799913, 886.7487818058544, -750.4081358585695, 597.8034808972452, -445.2792249305335, 304.9681588810008, -183.58548420949], [-10.243953440204677, 20.151431549544668, -38.14543162609607, 59.946163923942095, -80.60630541101591, 96.16697121862444, -103.68010757909951, 100.9924363521036], [-1092.7080129255955, 1019.696134784429, -883.7588400657596, 702.6196440552094, -499.3841026764908, 298.752142277046, -122.14823822518474, -15.700855001397485], [487.3486420949721, -457.72377416619975, 401.2645338641805, -323.6964289093312, 232.4064673727853, -135.82195154301098, 43.22808082428264, 36.497726230588796], [368.33958869816615, -346.48321591448484, 306.59733959807545, -255.6670165385981, 201.62419124398002, -151.8014064002232, 111.79521250517473, -83.99072613732778], [-120.6908210071797, 118.0018523439926, -112.5897123297018, 104.31189726733692, -93.44933925377654, 80.38743238105008, -65.31534377125308, 48.69998751762114]]","[[-14673.503360985163, 13630.840072900495, -11699.8208864099, 9158.656713937535, -6355.626909329032, 3644.0026720108126, -1320.0955606880907, -422.5402805904614], [2788.6729848822088, -2541.991327578906, 2085.9073148956286, -1488.196896686426, 834.9307788047863, -215.28923177034267, -293.6155183530518, 638.9936943731282], [4174.286283666383, -3955.3448760712017, 3547.535200112763, -3004.4611175645605, 2391.9015029157, -1774.6039605160258, 1204.5810235187764, -713.7116140794078], [-3.6598697971494403, 43.41929902193624, -115.65584086016861, 206.93667096211357, -299.7802685335555, 375.4265941071626, -416.8746622676681, 411.7402967163998], [-4358.425991568518, 4066.3670313612693, -3522.2319943233633, 2798.7038795456265, -1988.1767479325208, 1186.8275432681094, -479.0383586392891, -74.79251031236527], [1911.4169927257117, -1795.3143884502224, 1574.4850899469402, -1270.5100181476955, 912.9134440725302, -535.9854091598881, 174.97596023163715, 137.93357457816637], [1453.319198812087, -1367.1803277784402, 1210.073879423695, -1008.7007998212448, 794.9643793723426, -598.6069874369259, 440.70419335811494, -329.6423198488228], [-456.422471352098, 447.73358166777507, -430.0270430466662, 402.82871406046434, -365.8171346263425, 319.12664162075635, -263.5491755687817, 200.57429061123003]]"
Pt,6,10,fcc,4,-1197.749553,-299.4373883,-293.9211592,1.79671,5.84,5.52,-0.32,"[[-9136.625694000146, 8603.599645677818, -7610.199849860822, 6284.106172109152, -4783.84158521629, 3272.6672347333933, -1893.740467183923, 751.1673805194532], [1266.884773136735, -1140.2404155155218, 907.9727488080025, -609.9363062260836, 296.47068954311, -17.232487536779445, -188.75482609572828, 300.15027181704136], [3191.373815445355, -3082.6855311422732, 2871.2314268209575, -2569.200213252875, 2193.643616687923, -1765.2591602121865, 1307.720871145204, -846.6259689251074], [32.48071388201606, 4.756802725085436, -71.0521449952721, 151.67281390697826, -229.01667802740667, 286.25601121825093, -310.2734318595303, 293.8833545657162], [-3116.366958807983, 2938.5086883959175, -2605.2499765747634, 2157.039517577954, -1645.474920058331, 1124.9198649856535, -644.4111651600051, 241.4074226971079], [904.6331185775925, -842.4260553563254, 726.644639381062, -573.3489574232099, 402.8305884617421, -235.79786741908356, 89.9165827441011, 22.79741527821534], [1678.5059234446126, -1616.197116415834, 1495.870715122508, -1326.00941610882, 1118.2686324810402, -886.5856654620911, 646.2739779289641, -412.63732525272826], [-270.02688843380565, 280.4401204886144, -296.96928005281734, 312.20521671731876, -317.9857411936664, 307.33431927307174, -275.86914006785446, 222.87311636444247]]","[[-36557.667224619065, 34448.32030470287, -30500.358195762943, 25206.67237609809, -19195.69719478823, 13125.200240272417, -7578.375303668141, 2982.4331181989037], [5034.779760204896, -4524.497933083912, 3594.8755941753334, -2408.2500566992458, 1163.997965441995, -57.547134672022366, -757.7932705965432, 1197.8710575246223], [12774.11350036772, -12344.6067369691, 11506.778032588096, -10303.20562718168, 8797.619764217387, -7073.222299818281, 5228.745066866504, -3372.019188572558], [181.2310756397128, -30.665709745189815, -238.44003488297312, 568.8127127447005, -889.8363069544212, 1131.7974146841298, -1239.3495712087533, 1181.5653838328435], [-12464.179410848872, 11757.012987738184, -10429.347784083915, 8639.745519634118, -6592.298243483161, 4504.185399369446, -2573.563595074229, 953.560789710813], [3568.378901551965, -3321.269743578894, 2862.9830316525768, -2258.057028954121, 1586.8888014766853, -930.7563093498466, 358.1063679552535, 85.08977538967883], [6711.022254661955, -6464.485181298431, 5987.07682040584, -5309.71631225045, 4477.294916698345, -3545.913914029057, 2578.313515977119, -1637.787764611101], [-1039.4483186891885, 1082.4907397951101, -1152.1179878538169, 1219.7494574625089, -1252.0624287104438, 1219.3084088150135, -1102.3652226761697, 896.9354463961208]]"
Cu,4,11,fcc,4,-242.102974,-60.5257435,-57.09969191,0.940618,3.49,3.43,-0.06,"[[-1700.5445809345924, 1548.8169999532147, -1275.2871661315116, 929.2547609668545, -566.9033620190166, 239.85565566615105, 14.071956342614385, -176.10579935127316], [427.2723390837882, -389.0657825106789, 317.10651186950145, -221.49921288042788, 116.68914858189737, -18.206384231834136, -60.66718997591306, 111.47172069548537], [334.0456739967776, -309.7121678472138, 265.9887011281803, -212.02765366240578, 158.21300319585384, -112.84490251980696, 79.99105805109684, -59.04839256974515], [38.76516236434304, -31.60474352142205, 18.416552593578672, -1.8239195949477107, -15.026174413116905, 29.566116148934498, -39.99511939724289, 45.03577886516223], [-451.3697115199184, 413.83591040127294, -345.45663672283195, 257.3134781902727, -162.89784004642956, 75.64944629940283, -6.053551652913711, -40.2954899320373], [259.8271321128527, -242.54588397066345, 209.62918614824775, -164.54742080334609, 111.85389586466658, -56.6947210015544, 4.719227746817523, 38.60899187643736], [13.82344426931786, -9.461724239402429, 3.0376691021153874, 1.7027684928791587, -1.3939296902922251, -5.908147201807424, 20.274925887788413, -39.52477061233708], [22.549064673170733, -19.423881474661584, 13.688788217867113, -6.274166543093088, -1.95477986150172, 10.192296328693828, -17.52257526194444, 23.139782807330903]]","[[-6805.500965158036, 6213.483623786187, -5134.409937011538, 3753.752054989971, -2295.248924938858, 972.1548672437166, 55.47376611009804, -707.2730603012278], [1690.4338592742606, -1533.6341485700123, 1244.1796861133516, -866.022562185728, 455.04620295248606, -69.1247877263886, -241.9839134037884, 444.9390653215105], [1328.7628535748681, -1233.918485726631, 1064.190325141979, -853.6797395403264, 640.8738580487798, -458.07669146976514, 323.32337168146387, -237.15461502893504], [181.23903273387805, -151.42648163976992, 97.03719768879728, -27.438543554721036, -45.75444271775086, 110.82227514295391, -157.82667222899727, 179.90331034837254], [-1778.7396297541845, 1633.1908230616555, -1366.3324826989829, 1021.3283326690616, -651.0125025173984, 307.04518676468524, -30.12536173942226, -156.52714072261097], [1021.8095991607606, -953.3768055851297, 823.2312893002099, -644.3545029090074, 434.94815695302714, -216.66711247500734, 12.115724590863465, 158.1518043831711], [23.81963821906629, -11.680881962527565, -5.594460826365321, 16.471016168839924, -9.042003423058304, -24.430154499602395, 84.04354401753153, -160.9979145336083], [90.02017448217975, -79.52358026953061, 59.745035113898666, -32.88408225986677, 1.7686920541209474, 30.479796837979848, -60.651740175995656, 85.52040819912145]]"
