Ag,2.97,112.60000000000001,4.063,
AgBr,2.58,,5.78,
AgCl,2.75,,5.56,
AgF,2.95,,4.92,
Al,3.4200000000000004,81.0,4.019,
AlAs,3.8200000000000003,79.3,5.647000000000001,
AlN,5.847724020068663,206.0,4.368,
AlP,4.310000000000001,87.0,5.448000000000001,
AlSb,3.3400000000000003,59.5,6.121,
Au,3.8300000000000005,182.90000000000003,4.061000000000002,
BAs,4.78,151.0,4.765,
BN,6.76,388.5,3.5930000000000004,
BP,5.140000000000001,176.5,4.5249999999999995,
Ba,1.9099999999999997,9.3,5.003000000000001,
BaO,5.1,,5.52,
BaSe,4.03,,6.6,
Be,3.32,,2.286,
C,7.550000000000002,453.29999999999995,3.5530000000000004,
Ca,1.86,18.699999999999996,5.554,
CaO,5.52040767404942,115.0,4.781,
CaS,4.81,,5.7,
CaSe,4.01,,5.8,
Cd,1.16,,2.979,
CdO,3.21,,4.7,
CdS,2.82,65.0,5.808,
CdSe,2.4799999999999995,55.5,6.044,
CdTe,2.25,46.2,6.473000000000002,
Co,4.39,,2.507,1.72
CoAl,4.35,162.0,2.854,
CoC,5.69,,4.05,
CoN,4.53,,4.1,
CrC,5.8,,4.12,0.6
CrN,5.14,,4.15,1.3
CsF,3.66,,6.02,
CsI,2.75,,4.42,
Cu,3.5199999999999996,144.90000000000003,3.596,
Fe,4.32,177.90000000000003,2.858,2.22
FeAl,4.23,136.1,2.881,0.35
FeC,5.67,,4.09,
FeN,4.59,,4.13,1.3
GaAs,3.3400000000000003,78.10000000000002,5.635,
GaN,4.5600000000000005,204.0,4.5089999999999995,
GaP,3.6100000000000003,89.80000000000001,5.434,
GaSb,3.03,56.8,6.076,
Ge,3.9099999999999997,77.89999999999999,5.646,
HfC,8.180000000000001,277.9,4.6290000000000004,
HfN,8.08,312.29999999999995,4.509999999999999,
InAs,3.0799999999999996,58.39999999999999,6.029999999999999,
InP,3.4599999999999995,73.5,5.851999999999999,
InSb,2.81,47.2,6.461,
Ir,6.970000000000001,385.70000000000005,3.833,
IrC,6.84,,4.129,
IrN,5.13,,4.074,
K,0.93,3.730000000000001,5.208,
KBr,3.08,,6.6,
LaC,5.74,,5.429,
LaN,6.27,,5.305,
Li,1.6699999999999997,13.399999999999999,3.451,
LiCl,3.579999999999999,37.3,5.072,
LiF,4.460000000000002,75.4,3.9730000000000008,
LiH,2.4887123489653886,40.1,3.979,
LiI,2.78,,6.0,
Mg,1.51,,3.209,
MgO,5.190000000000001,173.00000000000006,4.188999999999998,
MgS,4.04,80.99999999999999,5.188,
MnC,5.14,,4.12,1.2
MnN,4.08,,4.2,1.6
MnO,4.75,,4.44,2.4
MnS,4.01,,5.22,2.4
Mo,6.86,267.9000000000001,3.1409999999999996,
MoC,7.22,,4.278,
MoN,6.2,,4.214,
Na,1.13,7.699999999999999,4.2090000000000005,
NaCl,3.3499999999999996,29.200000000000003,5.571999999999999,
NaF,3.9699999999999998,54.09999999999999,4.582000000000001,
Nb,7.6,176.2,3.2929999999999997,
NbC,8.33,312.29999999999995,4.460999999999999,
NbN,7.529999999999999,300.5,4.371,
Ni,4.4799999999999995,190.7,3.5069999999999997,0.64
NiAl,4.46,166.0,2.881,
NiC,5.65,,3.99,
NiN,4.48,,4.1,
Os,8.17,,2.734,
OsC,7.36,,4.176,
OsN,5.61,,4.058,
Pd,3.91,197.40000000000003,3.8760000000000003,
PdC,5.36,,4.221,
PdN,4.03,,4.145,
Pt,5.87,279.20000000000005,3.9130000000000003,
PtC,6.34,,4.206,
PtN,4.63,,4.137,
Rb,0.8500000000000001,3.1100000000000003,5.577,
RbI,2.71,,7.0,
Rh,5.78,271.59999999999997,3.794,
RhC,6.23,,4.145,
RhN,4.78,,4.082,
Ru,6.74,,2.706,
RuC,6.73,,4.129,
RuN,5.02,,4.058,
Sc,3.9,,3.309,
ScC,6.37,,4.72,
ScN,6.72,,4.51,
SeAs,2.46,,5.48,
Si,4.700000000000001,100.30000000000001,5.4209999999999985,
SiC,6.47,228.89999999999998,4.347,
Sn,3.1599999999999997,53.50000000000001,6.473999999999999,
Sr,1.73,12.499999999999998,6.04,
Ta,8.110000000000001,194.99999999999994,3.299,
TaC,8.56,,4.457,
TaN,7.63,,4.34,
Ti,4.85,,2.951,
TiC,7.24,249.50000000000003,4.3180000000000005,
TiN,6.760000000000001,295.5,4.228000000000001,
V,5.340000000000001,158.8,3.023,
VC,7.000000000000002,307.70000000000005,4.148999999999999,
VN,6.299999999999999,281.29999999999995,4.121999999999999,
W,8.93,315.7999999999999,3.1599999999999997,
WC,8.25,,4.266,
WN,7.01,,4.202,
Zn,1.35,,2.665,
ZnS,3.21,78.10000000000001,5.392,
ZnSe,2.66,65.9,5.661000000000001,
ZnTe,2.4299999999999997,53.099999999999994,6.089999999999999,
Zr,6.25,,3.232,
ZrC,7.989999999999998,229.9,4.6869999999999985,
ZrN,7.579999999999998,220.3,4.574999999999999,
