FeAl,pbe,23.766759,2.875125,False,False,True
FeAl,pbesol,23.075036,2.846956,False,False,True
FeAl,scan,22.446402,2.820865,False,False,True
FeO,pbe,68.767508,4.096954,True,False,False
FeTi,beef,25.031084,2.925229,True,False,False
FeTi,pbe,25.551317,2.945356,True,False,False
FeTi,pbesol,24.667896,2.911012,True,False,False
FeTi,scan,25.043542,2.925714,True,False,False
GaAs,beef,181.624924,5.663155,True,True,True
GaAs,pbe,191.372024,5.762702,True,True,True
GaAs,pbesol,183.608034,5.683692,True,True,True
GaAs,scan,181.831740,5.665304,True,True,True
GaN,beef,93.912833,4.545430,True,True,True
GaN,pbe,96.621893,4.588723,True,True,True
GaN,pbesol,94.036568,4.547425,True,True,True
GaN,scan,92.800556,4.527414,True,True,True
GaP,beef,163.303868,5.465948,True,True,True
GaP,pbe,169.542888,5.534689,True,True,True
GaP,pbesol,164.089689,5.474701,True,True,True
GaP,scan,163.028039,5.462869,True,True,True
GaSb,pbe,240.969376,6.222821,True,False,False
Ge,beef,182.909806,5.676478,True,True,True
Ge,pbe,193.275770,5.781748,True,True,True
Ge,pbesol,185.349330,5.701603,True,True,True
Ge,scan,183.680815,5.684443,True,True,True
Hf,beef,42.844599,3.151745,True,True,True
Hf,pbe,44.507299,3.192000,True,True,True
Hf,pbesol,42.812336,3.150954,True,True,True
HfC,pbe,100.317520,4.646496,True,False,False
HfN,pbe,93.191023,4.533755,True,False,False
In,beef,50.992536,3.382994,True,True,True
In,pbe,55.984239,3.489965,True,True,True
In,pbesol,52.190020,3.409271,True,True,True
In,scan,53.294745,3.433159,True,True,True
InAs,beef,227.028464,6.100425,True,True,True
InAs,pbe,239.584054,6.210873,True,True,True
InAs,pbesol,229.520679,6.122667,True,True,True
InAs,scan,229.451934,6.122055,True,True,True
InP,beef,207.988701,5.924885,True,True,True
InP,pbe,216.188396,6.001744,True,True,True
InP,pbesol,208.805262,5.932628,True,True,True
InP,scan,209.278957,5.937111,True,True,True
InSb,beef,276.434340,6.514244,True,True,True
InSb,pbe,293.750139,6.647516,True,True,True
InSb,pbesol,279.907581,6.541413,True,True,True
InSb,scan,280.468378,6.545778,True,True,True
Ir,beef,56.115544,3.828492,True,True,True
Ir,pbe,58.064875,3.872319,True,True,True
Ir,pbesol,56.334696,3.833469,True,True,True
Ir,scan,54.363286,3.788220,True,True,True
IrC,beef,83.360047,4.368369,True,False,False
IrC,pbe,85.340705,4.402696,True,False,False
IrC,pbesol,83.005656,4.362170,True,False,False
IrC,scan,83.011293,4.362268,True,False,False
IrN,beef,83.339567,4.368011,True,False,False
IrN,pbe,85.388660,4.403521,True,False,False
IrN,pbesol,82.510357,4.353476,True,False,False
IrN,scan,83.419412,4.369406,True,False,False
K,beef,155.372728,5.375988,True,True,True
K,pbe,148.960047,5.300985,True,True,True
K,pbesol,143.291393,5.232871,True,True,True
K,scan,151.522457,5.331208,True,True,True
KBr,beef,297.194636,6.673397,True,False,False
KBr,pbe,304.490702,6.727567,True,False,False
KBr,pbesol,285.892120,6.587704,True,False,False
KBr,scan,288.445902,6.607261,True,False,False
KCl,beef,258.653683,6.371469,True,False,False
KCl,pbe,263.496028,6.410984,True,False,False
KCl,pbesol,248.668139,6.288398,True,False,False
KCl,scan,250.351478,6.302556,True,False,False
KF,pbe,163.243809,5.465278,True,False,False
KH,pbe,187.495449,5.723525,True,False,False
KI,pbe,373.210984,7.199762,True,False,False
LaC,beef,156.880847,5.393326,True,False,False
LaC,pbe,160.341169,5.432691,True,False,False
LaC,pbesol,153.411846,5.353276,True,False,False
LaC,scan,160.017627,5.429035,True,False,False
LaN,beef,146.811978,5.275381,True,False,False
LaN,pbe,149.646349,5.309114,True,False,False
LaN,pbesol,144.723217,5.250243,True,False,False
LaN,scan,148.117440,5.290971,True,False,False
LaS,pbe,203.172197,5.878792,True,False,False
Li,beef,38.939583,3.389459,True,True,True
Li,pbe,40.689707,3.439496,True,True,True
Li,pbesol,40.810395,3.442894,True,True,True
LiCl,beef,132.761525,5.101416,True,True,True
LiCl,pbe,136.789367,5.152493,True,True,True
LiCl,pbesol,130.344705,5.070271,True,True,True
LiCl,scan,132.208212,5.094319,True,True,True
LiF,beef,64.417359,4.008676,True,True,True
LiF,pbe,67.462223,4.070867,True,True,True
LiF,pbesol,64.677630,4.014068,True,True,True
LiF,scan,62.962943,3.978277,True,True,True
LiH,beef,65.765186,4.036442,True,True,True
LiH,pbe,64.752882,4.015624,True,True,True
LiH,pbesol,63.691899,3.993571,True,True,True
LiH,scan,64.043652,4.000909,True,True,True
Mg,beef,45.369852,3.183602,True,True,True
Mg,pbe,45.835997,3.194468,True,True,True
Mg,pbesol,45.051569,3.176140,True,True,True
MgCe,beef,53.750547,3.773934,True,False,False
MgCe,pbe,55.701549,3.819054,True,False,False
MgCe,pbesol,53.031749,3.757036,True,False,False
MgCe,scan,54.394560,3.788947,True,False,False
MgO,beef,75.514761,4.226789,True,True,True
MgO,pbe,76.630666,4.247508,True,True,True
MgO,pbesol,74.646859,4.210534,True,True,True
MgO,scan,73.373444,4.186454,True,True,True
MgS,beef,140.323670,5.196493,True,False,True
MgS,pbe,142.516734,5.223424,True,False,True
MgS,pbesol,138.850039,5.178238,True,False,True
MgS,scan,139.382825,5.184853,True,False,True
Mn,pbe,613.184290,8.495658,True,True,True
Mn,scan,621.421442,8.533530,True,True,True
MnO,beef,89.247206,4.468875,True,False,False
MnO,pbe,87.745673,4.443671,True,False,False
MnO,pbesol,82.040059,4.345189,True,False,False
MnO,scan,87.807390,4.444713,True,False,False
